,Salary Estimate,Location,Size,Founded,Type of ownership,Industry,Revenue,salary_min,salary_max,salary_avg,Ubicacion,Antiguedad,Senior,Junior,Public,Private,Size_Num,Revenue_Num,Title_data,Title_engineer,Title_scientist,Title_analyst,Title_machine,Skill_python,Skill_sql,Skill_aws,Skill_excel,Skill_spark
0,$137K-$171K (Glassdoor est.),"New York, NY",1001 to 5000 employees,1993,Nonprofit Organization,Insurance Carriers,Unknown / Non-Applicable,137000,171000,154000.0,NY,31,1,0,0,0,5000.0,147.54861111111111,1,0,1,0,0,0,0,1,0,0
1,$137K-$171K (Glassdoor est.),"Chantilly, VA",5001 to 10000 employees,1968,Company - Public,Other,$1 to $2 billion (USD),137000,171000,154000.0,VA,56,0,0,1,0,10000.0,2.0,1,0,1,0,0,0,1,0,0,0
2,$137K-$171K (Glassdoor est.),"Boston, MA",1001 to 5000 employees,1981,Private Practice / Firm,Consulting,$100 to $500 million (USD),137000,171000,154000.0,MA,43,0,0,0,1,5000.0,500.0,1,0,1,0,0,1,0,1,1,0
3,$137K-$171K (Glassdoor est.),"Newton, MA",501 to 1000 employees,2000,Company - Public,Other,$100 to $500 million (USD),137000,171000,154000.0,MA,24,0,0,1,0,1000.0,500.0,1,0,1,0,0,1,1,1,1,0
4,$137K-$171K (Glassdoor est.),"New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Unknown / Non-Applicable,137000,171000,154000.0,NY,26,0,0,0,1,200.0,147.54861111111111,1,0,1,0,0,1,1,0,1,0
5,$137K-$171K (Glassdoor est.),"Santa Barbara, CA",51 to 200 employees,2010,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,137000,171000,154000.0,CA,14,0,0,0,1,200.0,147.54861111111111,1,0,1,0,0,1,1,0,1,1
6,$137K-$171K (Glassdoor est.),"Cambridge, MA",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),137000,171000,154000.0,MA,28,0,0,1,0,10000.0,10.0,1,0,1,0,1,1,0,0,0,0
7,$137K-$171K (Glassdoor est.),"Bedford, MA",1001 to 5000 employees,1990,Company - Public,Other,$1 to $2 billion (USD),137000,171000,154000.0,MA,34,0,0,1,0,5000.0,2.0,1,0,1,0,0,1,1,0,0,0
8,$137K-$171K (Glassdoor est.),"San Diego, CA",5001 to 10000 employees,1983,Company - Public,Computer Hardware & Software,$2 to $5 billion (USD),137000,171000,154000.0,CA,41,0,0,1,0,10000.0,5.0,1,0,1,0,0,0,0,0,0,0
9,$137K-$171K (Glassdoor est.),"Chicago, IL",51 to 200 employees,2014,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,137000,171000,154000.0,IL,10,0,0,0,1,200.0,147.54861111111111,1,0,1,0,0,1,1,0,0,0
